year,week_end_date,geography,age_group,sex,observed,expected,excess
2023,2023-01-08,Wales,30-44,people,2,2,-0
2023,2023-01-08,Wales,45-49,female,1,1,0
2023,2023-01-08,Wales,45-49,male,1,1,0
2023,2023-01-08,Wales,45-49,people,2,1,1
2023,2023-01-08,Wales,50-54,female,1,1,-0
2023,2023-01-08,Wales,50-54,male,1,1,-0
2023,2023-01-08,Wales,50-54,people,2,2,-0
2023,2023-01-08,Wales,55-59,female,2,2,0
2023,2023-01-08,Wales,55-59,male,2,2,0
2023,2023-01-08,Wales,55-59,people,4,4,0
2023,2023-01-08,Wales,60-64,female,3,3,0
2023,2023-01-08,Wales,60-64,male,3,3,0
2023,2023-01-08,Wales,60-64,people,6,6,0
2023,2023-01-08,Wales,65-69,female,4,4,-0
2023,2023-01-08,Wales,65-69,male,4,5,-1
2023,2023-01-08,Wales,65-69,people,8,9,-1
2023,2023-01-08,Wales,70-74,female,7,7,0
2023,2023-01-08,Wales,70-74,male,7,7,-0
2023,2023-01-08,Wales,70-74,people,14,14,0
2023,2023-01-08,Wales,75-79,female,11,11,0
2023,2023-01-08,Wales,75-79,male,11,11,-0
2023,2023-01-08,Wales,75-79,people,22,22,0
2023,2023-01-08,Wales,80-84,female,17,16,1
2023,2023-01-08,Wales,80-84,male,18,17,1
2023,2023-01-08,Wales,80-84,people,35,33,2
2023,2023-01-08,Wales,85-89,female,15,16,-1
2023,2023-01-08,Wales,85-89,male,16,17,-1
2023,2023-01-08,Wales,85-89,people,31,33,-2
2023,2023-01-08,Wales,90+,female,23,21,2
2023,2023-01-08,Wales,90+,male,24,22,2
2023,2023-01-08,Wales,90+,people,47,43,4
2023,2023-01-08,Wales,All ages,female,86,83,3
2023,2023-01-08,Wales,All ages,male,89,88,1
2023,2023-01-08,Wales,All ages,people,175,171,4
2023,2023-01-15,England,0-29,female,20,19,1
2023,2023-01-15,England,0-29,male,21,21,0
2023,2023-01-15,England,0-29,people,41,40,1
2023,2023-01-15,England,30-44,female,18,19,-1
2023,2023-01-15,England,30-44,male,20,20,-0
2023,2023-01-15,England,30-44,people,38,40,-2
2023,2023-01-15,England,45-49,female,12,13,-1
2023,2023-01-15,England,45-49,male,14,14,0
2023,2023-01-15,England,45-49,people,26,26,-0
2023,2023-01-15,England,50-54,female,20,21,-1
2023,2023-01-15,England,50-54,male,22,22,-0
2023,2023-01-15,England,50-54,people,42,44,-2
2023,2023-01-15,England,55-59,female,31,34,-3
2023,2023-01-15,England,55-59,male,38,36,2
2023,2023-01-15,England,55-59,people,69,70,-1
2023,2023-01-15,England,60-64,female,52,51,1
2023,2023-01-15,England,60-64,male,52,54,-2
2023,2023-01-15,England,60-64,people,104,105,-1
2023,2023-01-15,England,65-69,female,71,77,-6
2023,2023-01-15,England,65-69,male,87,82,5
2023,2023-01-15,England,65-69,people,158,159,-1
2023,2023-01-15,England,70-74,female,134,124,10
2023,2023-01-15,England,70-74,male,144,131,13
2023,2023-01-15,England,70-74,people,278,255,23
2023,2023-01-15,England,75-79,female,204,198,6
2023,2023-01-15,England,75-79,male,221,209,12
2023,2023-01-15,England,75-79,people,425,406,19
2023,2023-01-15,England,80-84,female,302,296,6
2023,2023-01-15,England,80-84,male,313,314,-1
2023,2023-01-15,England,80-84,people,615,610,5
2023,2023-01-15,England,85-89,female,299,298,1
2023,2023-01-15,England,85-89,male,310,315,-5
2023,2023-01-15,England,85-89,people,609,613,-4
2023,2023-01-15,England,90+,female,385,389,-4
2023,2023-01-15,England,90+,male,444,412,32
2023,2023-01-15,England,90+,people,829,801,28
2023,2023-01-15,England,All ages,female,1548,1540,8
2023,2023-01-15,England,All ages,male,1686,1630,56
2023,2023-01-15,England,All ages,people,3234,3170,64
2023,2023-01-15,England and Wales,0-29,female,21,20,1
2023,2023-01-15,England and Wales,0-29,male,22,22,0
2023,2023-01-15,England and Wales,0-29,people,43,42,1
2023,2023-01-15,England and Wales,30-44,female,19,20,-1
2023,2023-01-15,England and Wales,30-44,male,21,21,-0
2023,2023-01-15,England and Wales,30-44,people,40,42,-2
2023,2023-01-15,England and Wales,45-49,female,13,14,-1
2023,2023-01-15,England and Wales,45-49,male,15,14,1
2023,2023-01-15,England and Wales,45-49,people,28,28,0
2023,2023-01-15,England and Wales,50-54,female,21,22,-1
2023,2023-01-15,England and Wales,50-54,male,23,24,-1
2023,2023-01-15,England and Wales,50-54,people,44,46,-2
2023,2023-01-15,England and Wales,55-59,female,33,36,-3
2023,2023-01-15,England and Wales,55-59,male,40,38,2
2023,2023-01-15,England and Wales,55-59,people,73,73,-0
2023,2023-01-15,England and Wales,60-64,female,55,54,1
2023,2023-01-15,England and Wales,60-64,male,55,57,-2
2023,2023-01-15,England and Wales,60-64,people,110,110,-0
2023,2023-01-15,England and Wales,65-69,female,75,81,-6
2023,2023-01-15,England and Wales,65-69,male,91,86,5
2023,2023-01-15,England and Wales,65-69,people,166,167,-1
2023,2023-01-15,England and Wales,70-74,female,141,131,10
2023,2023-01-15,England and Wales,70-74,male,151,138,13
2023,2023-01-15,England and Wales,70-74,people,292,269,23
2023,2023-01-15,England and Wales,75-79,female,214,208,6
2023,2023-01-15,England and Wales,75-79,male,233,220,13
2023,2023-01-15,England and Wales,75-79,people,447,428,19
2023,2023-01-15,England and Wales,80-84,female,317,312,5
2023,2023-01-15,England and Wales,80-84,male,329,330,-1
2023,2023-01-15,England and Wales,80-84,people,646,642,4
2023,2023-01-15,England and Wales,85-89,female,315,314,1
2023,2023-01-15,England and Wales,85-89,male,327,332,-5
2023,2023-01-15,England and Wales,85-89,people,642,645,-3
2023,2023-01-15,England and Wales,90+,female,408,410,-2
2023,2023-01-15,England and Wales,90+,male,466,434,32
2023,2023-01-15,England and Wales,90+,people,874,843,31
2023,2023-01-15,England and Wales,All ages,female,1632,1622,10
2023,2023-01-15,England and Wales,All ages,male,1773,1716,57
2023,2023-01-15,England and Wales,All ages,people,3405,3339,66
2023,2023-01-15,Wales,0-29,female,1,1,-0
2023,2023-01-15,Wales,0-29,male,1,1,-0
2023,2023-01-15,Wales,0-29,people,2,2,-0
2023,2023-01-15,Wales,30-44,female,1,1,-0
2023,2023-01-15,Wales,30-44,male,1,1,-0
2023,2023-01-15,Wales,30-44,people,2,2,-0
2023,2023-01-15,Wales,45-49,female,1,1,0
2023,2023-01-15,Wales,45-49,male,1,1,0
2023,2023-01-15,Wales,45-49,people,2,1,1
2023,2023-01-15,Wales,50-54,female,1,1,-0
2023,2023-01-15,Wales,50-54,male,1,1,-0
2023,2023-01-15,Wales,50-54,people,2,2,-0
2023,2023-01-15,Wales,55-59,female,2,2,0
2023,2023-01-15,Wales,55-59,male,2,2,0
2023,2023-01-15,Wales,55-59,people,4,4,0
2023,2023-01-15,Wales,60-64,female,3,3,0
2023,2023-01-15,Wales,60-64,male,3,3,0
2023,2023-01-15,Wales,60-64,people,6,6,0
2023,2023-01-15,Wales,65-69,female,4,4,-0
2023,2023-01-15,Wales,65-69,male,4,4,-0
2023,2023-01-15,Wales,65-69,people,8,8,-0
2023,2023-01-15,Wales,70-74,female,7,7,0
2023,2023-01-15,Wales,70-74,male,7,7,0
2023,2023-01-15,Wales,70-74,people,14,14,0
2023,2023-01-15,Wales,75-79,female,10,10,-0
2023,2023-01-15,Wales,75-79,male,12,11,1
2023,2023-01-15,Wales,75-79,people,22,22,0
2023,2023-01-15,Wales,80-84,female,15,16,-1
2023,2023-01-15,Wales,80-84,male,16,17,-1
2023,2023-01-15,Wales,80-84,people,31,32,-1
2023,2023-01-15,Wales,85-89,female,16,16,0
2023,2023-01-15,Wales,85-89,male,17,17,0
2023,2023-01-15,Wales,85-89,people,33,33,0
2023,2023-01-15,Wales,90+,female,23,21,2
2023,2023-01-15,Wales,90+,male,22,22,0
2023,2023-01-15,Wales,90+,people,45,43,2
2023,2023-01-15,Wales,All ages,female,84,82,2
2023,2023-01-15,Wales,All ages,male,87,87,0
2023,2023-01-15,Wales,All ages,people,171,168,3
2023,2023-01-22,England,0-29,female,19,19,0
2023,2023-01-22,England,0-29,male,20,20,-0
2023,2023-01-22,England,0-29,people,39,39,0
2023,2023-01-22,England,30-44,female,21,19,2
2023,2023-01-22,England,30-44,male,20,20,0
2023,2023-01-22,England,30-44,people,41,39,2
2023,2023-01-22,England,45-49,female,13,13,0
2023,2023-01-22,England,45-49,male,13,13,-0
2023,2023-01-22,England,45-49,people,26,26,0
2023,2023-01-22,England,50-54,female,21,21,0
2023,2023-01-22,England,50-54,male,23,22,1
2023,2023-01-22,England,50-54,people,44,43,1
2023,2023-01-22,England,55-59,female,36,33,3
2023,2023-01-22,England,55-59,male,36,35,1
2023,2023-01-22,England,55-59,people,72,68,4
2023,2023-01-22,England,60-64,female,53,50,3
2023,2023-01-22,England,60-64,male,58,53,5
2023,2023-01-22,England,60-64,people,111,103,8
2023,2023-01-22,England,65-69,female,78,76,2
2023,2023-01-22,England,65-69,male,72,80,-8
2023,2023-01-22,England,65-69,people,150,156,-6
2023,2023-01-22,England,70-74,female,125,121,4
2023,2023-01-22,England,70-74,male,131,128,3
2023,2023-01-22,England,70-74,people,256,249,7
2023,2023-01-22,England,75-79,female,200,193,7
2023,2023-01-22,England,75-79,male,207,204,3
2023,2023-01-22,England,75-79,people,407,397,10
2023,2023-01-22,England,80-84,female,293,289,4
2023,2023-01-22,England,80-84,male,333,306,27
2023,2023-01-22,England,80-84,people,626,595,31
2023,2023-01-22,England,85-89,female,277,290,-13
2023,2023-01-22,England,85-89,male,317,307,10
2023,2023-01-22,England,85-89,people,594,598,-4
2023,2023-01-22,England,90+,female,397,380,17
2023,2023-01-22,England,90+,male,406,402,4
2023,2023-01-22,England,90+,people,803,781,22
2023,2023-01-22,England,All ages,female,1533,1503,30
2023,2023-01-22,England,All ages,male,1636,1590,46
2023,2023-01-22,England,All ages,people,3169,3093,76
2023,2023-01-22,England and Wales,0-29,female,20,20,0
2023,2023-01-22,England and Wales,0-29,male,21,21,-0
2023,2023-01-22,England and Wales,0-29,people,41,41,-0
2023,2023-01-22,England and Wales,30-44,female,22,20,2
2023,2023-01-22,England and Wales,30-44,male,21,21,0
2023,2023-01-22,England and Wales,30-44,people,43,41,2
2023,2023-01-22,England and Wales,45-49,female,14,13,1
2023,2023-01-22,England and Wales,45-49,male,14,14,-0
2023,2023-01-22,England and Wales,45-49,people,28,27,1
2023,2023-01-22,England and Wales,50-54,female,22,22,0
2023,2023-01-22,England and Wales,50-54,male,24,23,1
2023,2023-01-22,England and Wales,50-54,people,46,45,1
2023,2023-01-22,England and Wales,55-59,female,38,35,3
2023,2023-01-22,England and Wales,55-59,male,38,37,1
2023,2023-01-22,England and Wales,55-59,people,76,72,4
2023,2023-01-22,England and Wales,60-64,female,55,53,2
2023,2023-01-22,England and Wales,60-64,male,61,56,5
2023,2023-01-22,England and Wales,60-64,people,116,108,8
2023,2023-01-22,England and Wales,65-69,female,82,80,2
2023,2023-01-22,England and Wales,65-69,male,76,85,-9
2023,2023-01-22,England and Wales,65-69,people,158,164,-6
2023,2023-01-22,England and Wales,70-74,female,131,127,4
2023,2023-01-22,England and Wales,70-74,male,138,135,3
2023,2023-01-22,England and Wales,70-74,people,269,262,7
2023,2023-01-22,England and Wales,75-79,female,211,203,8
2023,2023-01-22,England and Wales,75-79,male,218,215,3
2023,2023-01-22,England and Wales,75-79,people,429,418,11
2023,2023-01-22,England and Wales,80-84,female,308,305,3
2023,2023-01-22,England and Wales,80-84,male,350,322,28
2023,2023-01-22,England and Wales,80-84,people,658,627,31
2023,2023-01-22,England and Wales,85-89,female,292,306,-14
2023,2023-01-22,England and Wales,85-89,male,332,324,8
2023,2023-01-22,England and Wales,85-89,people,624,630,-6
2023,2023-01-22,England and Wales,90+,female,415,400,15
2023,2023-01-22,England and Wales,90+,male,427,423,4
2023,2023-01-22,England and Wales,90+,people,842,823,19
2023,2023-01-22,England and Wales,All ages,female,1610,1583,27
2023,2023-01-22,England and Wales,All ages,male,1720,1674,46
2023,2023-01-22,England and Wales,All ages,people,3330,3257,73
2023,2023-01-22,Wales,0-29,female,1,1,-0
2023,2023-01-22,Wales,0-29,male,1,1,-0
2023,2023-01-22,Wales,0-29,people,2,2,-0
2023,2023-01-22,Wales,30-44,female,1,1,0
2023,2023-01-22,Wales,30-44,male,1,1,-0
2023,2023-01-22,Wales,30-44,people,2,2,-0
2023,2023-01-22,Wales,45-49,female,1,1,0
2023,2023-01-22,Wales,45-49,male,1,1,0
2023,2023-01-22,Wales,45-49,people,2,1,1
2023,2023-01-22,Wales,50-54,female,1,1,-0
2023,2023-01-22,Wales,50-54,male,1,1,-0
2023,2023-01-22,Wales,50-54,people,2,2,-0
2023,2023-01-22,Wales,55-59,female,2,2,0
2023,2023-01-22,Wales,55-59,male,2,2,0
2023,2023-01-22,Wales,55-59,people,4,4,0
2023,2023-01-22,Wales,60-64,female,2,3,-1
2023,2023-01-22,Wales,60-64,male,3,3,0
2023,2023-01-22,Wales,60-64,people,5,5,-0
2023,2023-01-22,Wales,65-69,female,4,4,-0
2023,2023-01-22,Wales,65-69,male,4,4,-0
2023,2023-01-22,Wales,65-69,people,8,8,-0
2023,2023-01-22,Wales,70-74,female,6,6,-0
2023,2023-01-22,Wales,70-74,male,7,7,0
2023,2023-01-22,Wales,70-74,people,13,13,-0
2023,2023-01-22,Wales,75-79,female,11,10,1
2023,2023-01-22,Wales,75-79,male,11,11,0
2023,2023-01-22,Wales,75-79,people,22,21,1
2023,2023-01-22,Wales,80-84,female,15,15,-0
2023,2023-01-22,Wales,80-84,male,17,16,1
2023,2023-01-22,Wales,80-84,people,32,32,0
2023,2023-01-22,Wales,85-89,female,15,15,-0
2023,2023-01-22,Wales,85-89,male,15,16,-1
2023,2023-01-22,Wales,85-89,people,30,32,-2
2023,2023-01-22,Wales,90+,female,18,20,-2
2023,2023-01-22,Wales,90+,male,21,21,-0
2023,2023-01-22,Wales,90+,people,39,42,-3
2023,2023-01-22,Wales,All ages,female,77,80,-3
2023,2023-01-22,Wales,All ages,male,84,84,-0
2023,2023-01-22,Wales,All ages,people,161,164,-3
2023,2023-01-29,England,0-29,female,18,18,-0
2023,2023-01-29,England,0-29,male,18,19,-1
2023,2023-01-29,England,0-29,people,36,37,-1
2023,2023-01-29,England,30-44,female,16,18,-2
2023,2023-01-29,England,30-44,male,17,19,-2
2023,2023-01-29,England,30-44,people,33,37,-4
2023,2023-01-29,England,45-49,female,11,12,-1
2023,2023-01-29,England,45-49,male,13,13,0
2023,2023-01-29,England,45-49,people,24,24,-0
2023,2023-01-29,England,50-54,female,20,20,0
2023,2023-01-29,England,50-54,male,20,21,-1
2023,2023-01-29,England,50-54,people,40,40,-0
2023,2023-01-29,England,55-59,female,31,31,-0
2023,2023-01-29,England,55-59,male,32,33,-1
2023,2023-01-29,England,55-59,people,63,64,-1
2023,2023-01-29,England,60-64,female,46,47,-1
2023,2023-01-29,England,60-64,male,53,50,3
2023,2023-01-29,England,60-64,people,99,97,2
2023,2023-01-29,England,65-69,female,64,72,-8
2023,2023-01-29,England,65-69,male,81,76,5
2023,2023-01-29,England,65-69,people,145,147,-2
2023,2023-01-29,England,70-74,female,122,115,7
2023,2023-01-29,England,70-74,male,115,122,-7
2023,2023-01-29,England,70-74,people,237,237,-0
2023,2023-01-29,England,75-79,female,188,184,4
2023,2023-01-29,England,75-79,male,204,194,10
2023,2023-01-29,England,75-79,people,392,378,14
2023,2023-01-29,England,80-84,female,275,276,-1
2023,2023-01-29,England,80-84,male,292,292,0
2023,2023-01-29,England,80-84,people,567,568,-1
2023,2023-01-29,England,85-89,female,300,277,23
2023,2023-01-29,England,85-89,male,297,293,4
2023,2023-01-29,England,85-89,people,597,570,27
2023,2023-01-29,England,90+,female,393,362,31
2023,2023-01-29,England,90+,male,381,383,-2
2023,2023-01-29,England,90+,people,774,745,29
2023,2023-01-29,England,All ages,female,1484,1433,51
2023,2023-01-29,England,All ages,male,1523,1516,7
2023,2023-01-29,England,All ages,people,3007,2949,58
2023,2023-01-29,England and Wales,0-29,female,19,19,-0
2023,2023-01-29,England and Wales,0-29,male,19,20,-1
2023,2023-01-29,England and Wales,0-29,people,38,39,-1
2023,2023-01-29,England and Wales,30-44,female,17,19,-2
2023,2023-01-29,England and Wales,30-44,male,18,20,-2
2023,2023-01-29,England and Wales,30-44,people,35,39,-4
2023,2023-01-29,England and Wales,45-49,female,12,13,-1
2023,2023-01-29,England and Wales,45-49,male,14,13,1
2023,2023-01-29,England and Wales,45-49,people,26,26,0
2023,2023-01-29,England and Wales,50-54,female,21,21,0
2023,2023-01-29,England and Wales,50-54,male,21,22,-1
2023,2023-01-29,England and Wales,50-54,people,42,42,-0
2023,2023-01-29,England and Wales,55-59,female,33,33,0
2023,2023-01-29,England and Wales,55-59,male,34,35,-1
2023,2023-01-29,England and Wales,55-59,people,67,68,-1
2023,2023-01-29,England and Wales,60-64,female,48,50,-2
2023,2023-01-29,England and Wales,60-64,male,56,52,4
2023,2023-01-29,England and Wales,60-64,people,104,102,2
2023,2023-01-29,England and Wales,65-69,female,68,75,-7
2023,2023-01-29,England and Wales,65-69,male,85,80,5
2023,2023-01-29,England and Wales,65-69,people,153,155,-2
2023,2023-01-29,England and Wales,70-74,female,128,121,7
2023,2023-01-29,England and Wales,70-74,male,122,129,-7
2023,2023-01-29,England and Wales,70-74,people,250,250,-0
2023,2023-01-29,England and Wales,75-79,female,198,194,4
2023,2023-01-29,England and Wales,75-79,male,214,205,9
2023,2023-01-29,England and Wales,75-79,people,412,398,14
2023,2023-01-29,England and Wales,80-84,female,290,290,-0
2023,2023-01-29,England and Wales,80-84,male,307,307,-0
2023,2023-01-29,England and Wales,80-84,people,597,598,-1
2023,2023-01-29,England and Wales,85-89,female,315,292,23
2023,2023-01-29,England and Wales,85-89,male,312,309,3
2023,2023-01-29,England and Wales,85-89,people,627,600,27
2023,2023-01-29,England and Wales,90+,female,412,381,31
2023,2023-01-29,England and Wales,90+,male,401,403,-2
2023,2023-01-29,England and Wales,90+,people,813,785,28
2023,2023-01-29,England and Wales,All ages,female,1561,1509,52
2023,2023-01-29,England and Wales,All ages,male,1603,1597,6
2023,2023-01-29,England and Wales,All ages,people,3164,3106,58
2023,2023-01-29,Wales,0-29,female,1,1,0
2023,2023-01-29,Wales,0-29,male,1,1,-0
2023,2023-01-29,Wales,0-29,people,2,2,0
2023,2023-01-29,Wales,30-44,female,1,1,0
2023,2023-01-29,Wales,30-44,male,1,1,-0
2023,2023-01-29,Wales,30-44,people,2,2,0
2023,2023-01-29,Wales,45-49,female,1,1,0
2023,2023-01-29,Wales,45-49,male,1,1,0
2023,2023-01-29,Wales,45-49,people,2,1,1
2023,2023-01-29,Wales,50-54,female,1,1,-0
2023,2023-01-29,Wales,50-54,male,1,1,-0
2023,2023-01-29,Wales,50-54,people,2,2,-0
2023,2023-01-29,Wales,55-59,female,2,2,0
2023,2023-01-29,Wales,55-59,male,2,2,0
2023,2023-01-29,Wales,55-59,people,4,3,1
2023,2023-01-29,Wales,60-64,female,2,2,-0
2023,2023-01-29,Wales,60-64,male,3,3,0
2023,2023-01-29,Wales,60-64,people,5,5,-0
2023,2023-01-29,Wales,65-69,female,4,4,0
2023,2023-01-29,Wales,65-69,male,4,4,-0
2023,2023-01-29,Wales,65-69,people,8,8,0
2023,2023-01-29,Wales,70-74,female,6,6,-0
2023,2023-01-29,Wales,70-74,male,7,6,1
2023,2023-01-29,Wales,70-74,people,13,13,0
2023,2023-01-29,Wales,75-79,female,10,10,0
2023,2023-01-29,Wales,75-79,male,10,10,-0
2023,2023-01-29,Wales,75-79,people,20,20,-0
2023,2023-01-29,Wales,80-84,female,15,15,0
2023,2023-01-29,Wales,80-84,male,15,16,-1
2023,2023-01-29,Wales,80-84,people,30,30,-0
2023,2023-01-29,Wales,85-89,female,15,15,0
2023,2023-01-29,Wales,85-89,male,15,16,-1
2023,2023-01-29,Wales,85-89,people,30,30,-0
2023,2023-01-29,Wales,90+,female,19,19,-0
2023,2023-01-29,Wales,90+,male,20,20,-0
2023,2023-01-29,Wales,90+,people,39,40,-1
2023,2023-01-29,Wales,All ages,female,77,76,1
2023,2023-01-29,Wales,All ages,male,80,81,-1
2023,2023-01-29,Wales,All ages,people,157,157,0
2023,2023-02-05,England,0-29,female,19,17,2
2023,2023-02-05,England,0-29,male,17,18,-1
2023,2023-02-05,England,0-29,people,36,36,0
2023,2023-02-05,England,30-44,female,17,17,-0
2023,2023-02-05,England,30-44,male,16,18,-2
2023,2023-02-05,England,30-44,people,33,36,-3
2023,2023-02-05,England,45-49,female,12,12,0
2023,2023-02-05,England,45-49,male,12,12,-0
2023,2023-02-05,England,45-49,people,24,24,-0
2023,2023-02-05,England,50-54,female,19,19,-0
2023,2023-02-05,England,50-54,male,19,20,-1
2023,2023-02-05,England,50-54,people,38,40,-2
2023,2023-02-05,England,55-59,female,30,31,-1
2023,2023-02-05,England,55-59,male,35,32,3
2023,2023-02-05,England,55-59,people,65,63,2
2023,2023-02-05,England,60-64,female,50,46,4
2023,2023-02-05,England,60-64,male,44,49,-5
2023,2023-02-05,England,60-64,people,94,95,-1
2023,2023-02-05,England,65-69,female,69,70,-1
2023,2023-02-05,England,65-69,male,76,74,2
2023,2023-02-05,England,65-69,people,145,144,1
2023,2023-02-05,England,70-74,female,98,111,-13
2023,2023-02-05,England,70-74,male,113,118,-5
2023,2023-02-05,England,70-74,people,211,229,-18
2023,2023-02-05,England,75-79,female,175,178,-3
2023,2023-02-05,England,75-79,male,199,188,11
2023,2023-02-05,England,75-79,people,374,365,9
2023,2023-02-05,England,80-84,female,273,266,7
2023,2023-02-05,England,80-84,male,255,282,-27
2023,2023-02-05,England,80-84,people,528,548,-20
2023,2023-02-05,England,85-89,female,270,268,2
2023,2023-02-05,England,85-89,male,292,283,9
2023,2023-02-05,England,85-89,people,562,551,11
2023,2023-02-05,England,90+,female,352,350,2
2023,2023-02-05,England,90+,male,380,370,10
2023,2023-02-05,England,90+,people,732,720,12
2023,2023-02-05,England,All ages,female,1384,1384,-0
2023,2023-02-05,England,All ages,male,1458,1465,-7
2023,2023-02-05,England,All ages,people,2842,2849,-7
2023,2023-02-05,England and Wales,0-29,female,20,18,2
2023,2023-02-05,England and Wales,0-29,male,18,19,-1
2023,2023-02-05,England and Wales,0-29,people,38,38,0
2023,2023-02-05,England and Wales,30-44,female,18,18,-0
2023,2023-02-05,England and Wales,30-44,male,17,19,-2
2023,2023-02-05,England and Wales,30-44,people,35,38,-3
2023,2023-02-05,England and Wales,45-49,female,13,12,1
2023,2023-02-05,England and Wales,45-49,male,13,13,0
2023,2023-02-05,England and Wales,45-49,people,26,25,1
2023,2023-02-05,England and Wales,50-54,female,20,20,-0
2023,2023-02-05,England and Wales,50-54,male,20,21,-1
2023,2023-02-05,England and Wales,50-54,people,40,42,-2
2023,2023-02-05,England and Wales,55-59,female,32,32,-0
2023,2023-02-05,England and Wales,55-59,male,37,34,3
2023,2023-02-05,England and Wales,55-59,people,69,66,3
2023,2023-02-05,England and Wales,60-64,female,52,49,3
2023,2023-02-05,England and Wales,60-64,male,47,51,-4
2023,2023-02-05,England and Wales,60-64,people,99,100,-1
2023,2023-02-05,England and Wales,65-69,female,73,74,-1
2023,2023-02-05,England and Wales,65-69,male,80,78,2
